trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	phase_duration_   0	phase_duration	onset_abs	duration
0	0.01437920005992055	stim	0		179	break	break	3.0		10.194160399958491	2.9932531998492777
1	3.0076323999091983	stim	0		0	rivalry	house_face	20.0		13.187413599807769	1.0223983000032604
1	4.030030699912459	house_face	0	space	0	rivalry	house_face		20.0	14.20981189981103	3.015919900033623
1	7.045950599946082	house_face	0	space	0	rivalry	house_face		20.0	17.225731799844652	2.869221900124103
1	9.915172500070184	house_face	0	space	0	rivalry	house_face		20.0	20.094953699968755	3.163990399800241
1	13.079162899870425	house_face	0	space	0	rivalry	house_face		20.0	23.258944099768996	3.461114500183612
1	16.540277400054038	house_face	0	space	0	rivalry	house_face		20.0	26.72005859995261	1.889552999753505
1	18.429830399807543	house_face	0	space	0	rivalry	house_face		20.0	28.609611599706113	2.610339100006968
1	21.04016949981451	house_face	0	space	1196	rivalry	house_face		20.0	31.21995069971308	1.968083499930799
0	23.00825299974531	stim	0		179	break	break	3.0		33.18803419964388	3.0035109003074467
2	26.011763900052756	stim	0		240	unambiguous	house	4.003459877141255		36.19154509995133	4.0014051999896765
3	30.013169100042433	stim	0		0	unambiguous	face	2.8785906761066644		40.192950299941	0.7509476998820901
3	30.764116799924523	face	0	space	171	unambiguous	face		2.8785906761066644	40.94389799982309	2.1165354000404477
4	32.88065219996497	stim	0		0	unambiguous	house	3.6786924113355335		43.06043339986354	1.3847125000320375
4	34.26536469999701	house	0	space	219	unambiguous	house		3.6786924113355335	44.44514589989558	2.3006476000882685
5	36.566012300085276	stim	0		0	unambiguous	face	4.805079412985966		46.74579349998385	0.46696209954097867
5	37.032974399626255	face	0	space	288	unambiguous	face		4.805079412985966	47.212755599524826	4.337180400267243
6	41.3701547998935	stim	0		0	unambiguous	house	5.954955764319141		51.54993599979207	0.46933439979329705
6	41.839489199686795	house	0	space	356	unambiguous	house		5.954955764319141	52.019270399585366	5.489548200275749
7	47.329037399962544	stim	0		0	unambiguous	face	-1.3207781418885602		57.508818599861115	0.0047691999934613705
0	47.333806599956006	stim	0		101	break	break	3.0		57.51358779985458	1.6787489000707865
8	49.01255550002679	stim	0		0	rivalry	house_face	20.0		59.19233669992536	1.8519574999809265
8	50.86451300000772	house_face	0	space	0	rivalry	house_face		20.0	61.04429419990629	6.488041799981147
8	57.352554799988866	house_face	0	space	0	rivalry	house_face		20.0	67.53233599988744	2.4004203998483717
8	59.75297519983724	house_face	0	space	0	rivalry	house_face		20.0	69.93275639973581	1.5853067999705672
8	61.338281999807805	house_face	0	space	0	rivalry	house_face		20.0	71.51806319970638	1.9214014001190662
8	63.25968339992687	house_face	0	space	0	rivalry	house_face		20.0	73.43946459982544	1.835657199844718
8	65.09534059977159	house_face	0	space	0	rivalry	house_face		20.0	75.27512179967016	1.9536607000045478
8	67.04900129977614	house_face	0	space	1195	rivalry	house_face		20.0	77.22878249967471	1.950569599866867
0	68.999570899643	stim	0		180	break	break	3.0		79.17935209954157	3.003274700138718
9	72.00284559978172	stim	0		291	unambiguous	face	4.8742342720435206		82.18262679968029	4.875811799895018
10	76.87865739967674	stim	0		0	unambiguous	house	3.1082772882338907		87.05843859957531	0.4023342002183199
10	77.28099159989506	house	0	space	185	unambiguous	house		3.1082772882338907	87.46077279979363	2.716014000121504
11	79.99700560001656	stim	0		0	unambiguous	face	3.795933361871836		90.17678679991513	0.5168432998470962
11	80.51384889986366	face	0	space	227	unambiguous	face		3.795933361871836	90.69363009976223	3.2691883998923004
12	83.78303729975596	stim	0		0	unambiguous	house	2.143942733669408		93.96281849965453	0.351301200222224
12	84.13433849997818	house	0	space	128	unambiguous	house		2.143942733669408	94.31411969987676	1.7995095998048782
13	85.93384809978306	stim	0		0	unambiguous	face	3.403375657542197		96.11362929968163	0.5847173999063671
13	86.51856549968943	face	0	space	203	unambiguous	face		3.403375657542197	96.698346699588	2.818642800208181
14	89.33720829989761	stim	0		0	unambiguous	house	2.674236686639148		99.51698949979618	0.45088709983974695
14	89.78809539973736	house	0	space	159	unambiguous	house		2.674236686639148	99.96787659963593	2.2173963002860546
0	92.00549170002341	stim	0		180	break	break	3.0		102.18527289992198	3.6853422997519374
